název
Schindlerův seznam
Noc a mlha
Holocaust - Odhalené koncentrační tábory
Statečné srdce
Kladivo na čarodějnice
Černý jestřáb sestřelen
Nikdy nezestárnou
Šoa
Bitva o Ostravsko 1945
Vlny
Císařův pekař - Pekařův císař
Mnichov 1938
Velký útěk
Těžká váha
The Doors - When You're Strange
JFK
Atentát
Titanic
Norimberský proces
Ben Hur
Volyň
Let číslo 93
Harakiri
Shake Hands with the Devil
Apollo 13
Začalo to v Los Alamos
Výměna
Údolí včel
Barry Lyndon
Andrej Rublev
Mise
Ve službách papeže
Ukradená vzducholoď
Chicagský tribunál
Nejdelší den
Utrpení Panny orleánské
Bastard
Unaveni sluncem
Jeden život
Valčík s Bašírem
Staré pověsti české
Zavěste červené lucerny
Hacksaw Ridge: Zrození hrdiny
Hotel Mumbai
Jagna
Hitlerova kariéra
Huo zhe
Ruróni Kenšin: Meidži kenkaku rómantan – Cuioku hen
"Evropa, Evropa"
Sůl Země
Tohle je Kongo
Soumrak
Cyrano z Bergeracu
Chi bi xia: Jue zhan tian xia
Oppenheimer
Tisíc dnů s Annou
V písku - Příslib svobody
Porco Rosso
Králův dvojník
Tisícročná včela
Ip Man 2
Křižník Potěmkin
Waterloo
Pošetilost mocných
Příliš vzdálený most
Vražedná pole
Nepřítel před branami
Všichni moji blízcí
Kundun
Balón
Všichni prezidentovi muži
Spotlight
Hrabě Monte Christo
Valkýra
Čch' pi
Tři mušketýři: Královniny přívěsky
36. komnata Shaolinu
Spartakus
Poslední týdny
Jánošík
Strom na dřeváky
Master & Commander: Odvrácená strana světa
Poslední souboj
Straight Outta Compton
Marketa Lazarová
Pád Třetí říše
Kleopatra
Zrod komiksových superhrdinů
Cesta domů
Nanking! Nanking!
Poslední císař
Tohle není Kalifornie
Jonestown - Život a smrt v Chrámu lidu
"Bezstarostní jezdci, zuřící býci"
Tančírna
Stranger: Mukó hadan
Nikdy neodvracej zrak
Zrada a pomsta
Poslední údolí
Zběsilost
XX. století
